State,County,LifeExpectancy,LifeExpectancyStandardError
Arkansas,Clay County,73.66666666666667,1.6591333333333333
Arkansas,Cleburne County,76.71428571428571,1.8901142857142859
Arkansas,Cleveland County,76.75,1.2631000000000001
Arkansas,Columbia County,77.14,1.77762
Arkansas,Conway County,75.05,1.4505166666666665
Arkansas,Craighead County,75.78235294117647,1.631835294117647
Arkansas,Crawford County,75.52727272727272,1.565390909090909
Arkansas,Crittenden County,74.30689342943944,2.253741447250849
Arkansas,Cross County,73.8,1.8513666666666666
Arkansas,Dallas County,75.56982238239908,1.8208774120847482
Arkansas,Desha County,75.08,2.03058
Arkansas,Drew County,75.56,1.98538
Arkansas,Faulkner County,76.19275737177578,1.5569665789003397
Arkansas,Franklin County,74.7,1.3504333333333332
Arkansas,Fulton County,76.6,1.54365
Arkansas,Garland County,74.48547335735987,1.5887516118127123
Arkansas,Grant County,75.625,1.47545
Arkansas,Greene County,75.6,1.9394555555555557
Arkansas,Hempstead County,76.72,2.0133199999999998
Arkansas,Hot Spring County,73.41428571428571,1.3695857142857142
Arkansas,Howard County,74.53333333333333,1.2921
Arkansas,Independence County,76.77618339339966,1.5598540295317807
Arkansas,Izard County,78.44999999999999,1.880525
Arkansas,Jackson County,74.42,1.4447199999999998
Arkansas,Jefferson County,73.42956113113321,1.8043430098439268
Arkansas,Johnson County,77.31666666666666,1.46485
Arkansas,Lafayette County,73.55,1.018
Arkansas,Lawrence County,76.95,1.7154166666666668
Arkansas,Lee County,73.475,1.900175
Arkansas,Lincoln County,76.025,2.3286
Arkansas,Little River County,75.6,1.6878
Arkansas,Logan County,75.88333333333334,1.6841833333333334
Arkansas,Lonoke County,75.20684169669983,1.7789645147658903
Arkansas,Madison County,75.5,1.2405
Arkansas,Marion County,75.475,1.44985
Arkansas,Miller County,73.6507889289331,1.6682360196878536
Arkansas,Mississippi County,74.35833333333333,1.953075
Arkansas,Monroe County,76.3,2.0006666666666666
Arkansas,Montgomery County,77.0,1.9013
Arkansas,Nevada County,74.33333333333333,1.6737
Arkansas,Newton County,82.19999999999999,2.3653500000000003
Arkansas,Ouachita County,75.45,1.7752999999999999
Arkansas,Perry County,75.83333333333333,1.6489666666666667
Arkansas,Phillips County,72.38333333333334,1.7326499999999998
Arkansas,Pike County,74.8,1.3216999999999999
Arkansas,Poinsett County,72.45714285714286,1.5670142857142857
Arkansas,Polk County,75.8,1.6096333333333332
Arkansas,Pope County,76.46363636363637,1.4804454545454546
Arkansas,Prairie County,78.16666666666667,1.8070000000000002
Arkansas,Pulaski County,75.8322765266356,1.876007638460839
Arkansas,Randolph County,75.25,1.419
Arkansas,Saline County,76.75759367367606,1.672553916012107
Arkansas,Scott County,75.8,2.126133333333333
Arkansas,Searcy County,75.60000000000001,1.5500999999999998
Arkansas,Sebastian County,75.7,1.5762576923076923
Arkansas,Sevier County,75.275,1.669925
Arkansas,Sharp County,74.9,1.7197
Arkansas,St. Francis County,75.21666666666667,1.473766666666667
Arkansas,Stone County,73.56666666666666,2.0463999999999998
Arkansas,Union County,74.11,1.49136
Arkansas,Van Buren County,77.06,1.67898
Arkansas,Washington County,77.94434169669982,1.6275363897658903
Arkansas,White County,75.8084205497844,1.3191640181734035
Arkansas,Woodruff County,78.6,2.0392
Arkansas,Yell County,76.28491119119954,1.8649220393757073
California,Alameda County,80.68425967973833,2.001378231118691
California,Alpine County,80.4,2.5262
California,Amador County,79.19999999999999,1.7293
California,Butte County,77.72586145675284,1.832079695539382
California,Calaveras County,80.58094671471972,1.7977532236254246
California,Colusa County,80.22,1.65838
California,Contra Costa County,80.65684169669983,1.9361298993812748
California,Del Norte County,76.71368339339965,1.8230040295317806
California,El Dorado County,80.41760006705078,1.932792870175011
California,Fresno County,78.38530521194762,2.018160592412231
California,Glenn County,80.95,1.6517
California,Humboldt County,78.20706239659337,1.648221434597048
California,Imperial County,79.9135140094966,2.070860144274467
California,Inyo County,80.76666666666667,1.7826833333333332
California,Kern County,76.99775457948577,1.8365625696445178
California,Kings County,78.41216301635525,1.827455433657879
California,Lake County,75.05396447647982,1.7672954824169496
California,Lassen County,76.63438523857747,1.7192035818060272
