Year,Race,Sex,LifeExpectancy
1991,White,Female,79.6
1991,White,Male,72.9
1992,All Races,Both Sexes,75.8
1992,All Races,Female,79.1
1992,All Races,Male,72.3
1992,Black,Both Sexes,69.6
1992,Black,Female,73.9
1992,Black,Male,65
1992,White,Both Sexes,76.5
1992,White,Female,79.8
1992,White,Male,73.2
1993,All Races,Both Sexes,75.5
1993,All Races,Female,78.8
1993,All Races,Male,72.2
1993,Black,Both Sexes,69.2
1993,Black,Female,73.7
1993,Black,Male,64.6
1993,White,Both Sexes,76.3
1993,White,Female,79.5
1993,White,Male,73.1
1994,All Races,Both Sexes,75.7
1994,All Races,Female,79
1994,All Races,Male,72.4
1994,Black,Both Sexes,69.5
1994,Black,Female,73.9
1994,Black,Male,64.9
1994,White,Both Sexes,76.5
1994,White,Female,79.6
1994,White,Male,73.3
1995,All Races,Both Sexes,75.8
1995,All Races,Female,78.9
1995,All Races,Male,72.5
1995,Black,Both Sexes,69.6
1995,Black,Female,73.9
1995,Black,Male,65.2
1995,White,Both Sexes,76.5
1995,White,Female,79.6
1995,White,Male,73.4
1996,All Races,Both Sexes,76.1
1996,All Races,Female,79.1
1996,All Races,Male,73.1
1996,Black,Both Sexes,70.2
1996,Black,Female,74.2
1996,Black,Male,66.1
1996,White,Both Sexes,76.8
1996,White,Female,79.7
1996,White,Male,73.9
1997,All Races,Both Sexes,76.5
1997,All Races,Female,79.4
1997,All Races,Male,73.6
1997,Black,Both Sexes,71.1
1997,Black,Female,74.7
1997,Black,Male,67.2
1997,White,Both Sexes,77.1
1997,White,Female,79.9
1997,White,Male,74.3
1998,All Races,Both Sexes,76.7
1998,All Races,Female,79.5
1998,All Races,Male,73.8
1998,Black,Both Sexes,71.3
1998,Black,Female,74.8
1998,Black,Male,67.6
1998,White,Both Sexes,77.3
1998,White,Female,80
1998,White,Male,74.5
1999,All Races,Both Sexes,76.7
1999,All Races,Female,79.4
1999,All Races,Male,73.9
1999,Black,Both Sexes,71.4
1999,Black,Female,74.7
1999,Black,Male,67.8
1999,White,Both Sexes,77.3
1999,White,Female,79.9
1999,White,Male,74.6
2000,All Races,Both Sexes,76.8
2000,All Races,Female,79.3
2000,All Races,Male,74.1
2000,Black,Both Sexes,71.8
2000,Black,Female,75.1
2000,Black,Male,68.2
2000,White,Both Sexes,77.3
2000,White,Female,79.9
2000,White,Male,74.7
2001,All Races,Both Sexes,77
2001,All Races,Female,79.5
2001,All Races,Male,74.3
2001,Black,Both Sexes,72
2001,Black,Female,75.3
2001,Black,Male,68.5
2001,White,Both Sexes,77.5
2001,White,Female,80
2001,White,Male,74.9
2002,All Races,Both Sexes,77
2002,All Races,Female,79.6
2002,All Races,Male,74.4
2002,Black,Both Sexes,72.2
2002,Black,Female,75.4
2002,Black,Male,68.7
2002,White,Both Sexes,77.5
2002,White,Female,80.1
2002,White,Male,74.9
2003,All Races,Both Sexes,77.2
2003,All Races,Female,79.7
2003,All Races,Male,74.5
2003,Black,Both Sexes,72.4
2003,Black,Female,75.7
2003,Black,Male,68.9
2003,White,Both Sexes,77.7
2003,White,Female,80.2
2003,White,Male,75.1
2004,All Races,Both Sexes,77.6
2004,All Races,Female,80.1
2004,All Races,Male,75
2004,Black,Both Sexes,72.9
2004,Black,Female,76.1
2004,Black,Male,69.4
2004,White,Both Sexes,78.1
2004,White,Female,80.5
2004,White,Male,75.5
2005,All Races,Both Sexes,77.6
2005,All Races,Female,80.1
2005,All Races,Male,75
2005,Black,Both Sexes,73
2005,Black,Female,76.2
2005,Black,Male,69.5
2005,White,Both Sexes,78
2005,White,Female,80.5
2005,White,Male,75.5
2006,All Races,Both Sexes,77.8
2006,All Races,Female,80.3
2006,All Races,Male,75.2
2006,Black,Both Sexes,73.4
2006,Black,Female,76.7
2006,Black,Male,69.9
2006,White,Both Sexes,78.3
2006,White,Female,80.7
2006,White,Male,75.8
2007,All Races,Both Sexes,78.1
2007,All Races,Female,80.6
2007,All Races,Male,75.5
2007,Black,Both Sexes,73.8
2007,Black,Female,77
2007,Black,Male,70.3
2007,White,Both Sexes,78.5
2007,White,Female,80.9
2007,White,Male,76
2008,All Races,Both Sexes,78.2
2008,All Races,Female,80.6
2008,All Races,Male,75.6
2008,Black,Both Sexes,74.3
2008,Black,Female,77.3
2008,Black,Male,70.9
2008,White,Both Sexes,78.5
2008,White,Female,80.9
2008,White,Male,76.1
2009,All Races,Both Sexes,78.5
2009,All Races,Female,80.9
2009,All Races,Male,76
2009,Black,Both Sexes,74.7
2009,Black,Female,77.7
2009,Black,Male,71.4
2009,White,Both Sexes,78.8
2009,White,Female,81.2
2009,White,Male,76.4
2010,All Races,Both Sexes,78.7
2010,All Races,Female,81
2010,All Races,Male,76.2
2010,Black,Both Sexes,75.1
2010,Black,Female,78
2010,Black,Male,71.8
2010,White,Both Sexes,78.9
2010,White,Female,81.3
2010,White,Male,76.5
2011,All Races,Both Sexes,78.7
2011,All Races,Female,81.1
2011,All Races,Male,76.3
2011,Black,Both Sexes,75.3
2011,Black,Female,78.2
2011,Black,Male,72.2
2011,White,Both Sexes,79
2011,White,Female,81.3
2011,White,Male,76.6
2012,All Races,Both Sexes,78.8
2012,All Races,Female,81.2
2012,All Races,Male,76.4
2012,Black,Both Sexes,75.5
2012,Black,Female,78.4
2012,Black,Male,72.3
2012,White,Both Sexes,79.1
2012,White,Female,81.4
2012,White,Male,76.7
2013,All Races,Both Sexes,78.8
2013,All Races,Female,81.2
2013,All Races,Male,76.4
2013,Black,Both Sexes,75.5
2013,Black,Female,78.4
2013,Black,Male,72.3
2013,White,Both Sexes,79
2013,White,Female,81.4
2013,White,Male,76.7
2014,All Races,Both Sexes,78.9
2014,All Races,Female,81.3
2014,All Races,Male,76.5
2014,Black,Both Sexes,75.6
2014,Black,Female,78.5
2014,Black,Male,72.5
2014,White,Both Sexes,79.1
2014,White,Female,81.4
2014,White,Male,76.7
2015,All Races,Both Sexes,78.7
2015,All Races,Female,81.1
2015,All Races,Male,76.3
2015,Black,Both Sexes,75.5
2015,Black,Female,78.5
2015,Black,Male,72.2
2015,White,Both Sexes,78.9
2015,White,Female,81.3
2015,White,Male,76.6
2016,All Races,Both Sexes,78.7
2016,All Races,Female,81.1
2016,All Races,Male,76.2
2016,Black,Both Sexes,75.3
2016,Black,Female,78.3
2016,Black,Male,72
2016,White,Both Sexes,78.9
2016,White,Female,81.3
2016,White,Male,76.4
2017,All Races,Both Sexes,78.6
2017,All Races,Female,81.1
2017,All Races,Male,76.1
2017,Black,Both Sexes,75.3
2017,Black,Female,78.5
2017,Black,Male,71.9
2017,White,Both Sexes,78.8
2017,White,Female,81.2
2017,White,Male,76.4
