,LifeExpectancy
157,73.6507889289331
158,74.35833333333333
159,76.3
160,77.0
161,74.33333333333333
162,82.19999999999999
163,75.45
164,75.83333333333333
165,72.38333333333334
166,74.8
167,72.45714285714286
168,75.8
169,76.46363636363637
170,78.16666666666667
171,75.8322765266356
172,75.25
173,76.75759367367606
174,75.8
175,75.60000000000001
176,75.7
177,75.275
178,74.9
179,75.21666666666667
180,73.56666666666666
181,74.11
182,77.06
183,77.94434169669982
184,75.8084205497844
185,78.6
186,76.28491119119954
187,80.68425967973833
188,80.4
189,79.19999999999999
190,77.72586145675284
191,80.58094671471972
192,80.22
193,80.65684169669983
194,76.71368339339965
195,80.41760006705078
196,78.38530521194762
197,80.95
198,78.20706239659337
199,79.9135140094966
200,80.76666666666667
201,76.99775457948577
202,78.41216301635525
203,75.05396447647982
204,76.63438523857747
205,80.41578142580912
206,77.92215074553032
207,82.93477385242832
208,78.38491119119954
209,79.19092700700939
210,78.289989125453
211,79.8
212,80.06982238239908
213,80.6263376295487
214,81.03094671471972
215,79.96047335735986
216,81.41064680502484
217,79.96402361421127
218,78.02992387817105
219,78.99685330522897
220,78.69356763880869
221,82.39999999999999
222,78.18065295800095
223,80.57968942025202
224,81.41573000046266
225,77.4763271017784
226,79.85933590035499
227,82.57124558786825
228,81.00660746079969
229,82.41959500791383
230,81.05956231855063
231,76.80644723223328
232,84.9
233,78.79420959245674
234,78.7652736461498
235,80.47647335735986
236,77.64391916427226
237,78.61949843558082
238,77.2909090909091
239,80.38189342943944
240,77.99242906598971
241,79.25626675403586
242,80.81737398226187
243,80.27699519227276
244,76.13639051051409
245,78.00490450698534
246,78.15
247,79.51155653123226
248,82.05
249,80.0
250,78.0
251,80.79193344639936
252,80.19151865199923
253,79.62189342943944
254,89.5
255,82.9
256,82.25
257,79.5
258,76.4
259,82.7
260,78.88571428571429
261,78.5023093059775
262,76.8
263,81.45892904052414
264,79.4781908194266
265,78.94054160499654
266,80.51428571428572
267,76.6020286743994
268,81.0008606497452
269,81.8
270,80.53333333333335
271,80.07736678679932
272,81.4
273,79.85473357359862
274,78.7
275,79.73957203987213
276,78.2
277,80.03333333333335
278,81.72
279,78.45473357359862
280,80.17826857214202
281,78.61666666666667
282,80.8
283,78.18333333333334
284,78.41099773428947
285,78.30946714719724
286,77.925
287,80.82857142857142
288,79.38
289,79.7125
290,76.94285714285715
291,83.2
292,79.16568028831834
293,80.1
294,82.425
295,78.86
296,76.50250670161434
297,78.95
298,78.93333333333334
299,81.7625
300,82.6
301,78.30946714719724
302,78.83210036039793
303,76.1
304,79.80568028831834
305,80.03491119119954
306,80.15
307,79.07871352600458
308,79.65
309,81.37808406245297
310,79.41126371836413
311,79.91465364188208
312,80.54401084977276
313,79.23628774458933
314,79.50208891801196
315,80.55680468055125
316,79.28075737177578
317,76.9829657148118
318,77.80363158150824
319,78.45695809588106
320,76.55660636905453
321,78.03629535822789
322,75.95
323,76.1078939939997
324,76.2
325,77.36716493757179
326,79.22667296401748
