ToDrop,State,County,LifeExpectancy,LifeExpectancyStandardError
252,Alabama,"Dallas County, AL",73.6,1.4828
253,Alabama,"Dallas County, AL",70.2,1.7995
254,Alabama,"Dallas County, AL",72.6,3.0625
255,Alabama,"Dallas County, AL",72.2,1.5899
256,Alabama,"Dallas County, AL",72.2,1.4719
257,Alabama,"Dallas County, AL",70.8,1.3606
258,Alabama,"DeKalb County, AL",76.2,1.0881
259,Alabama,"DeKalb County, AL",76.1,0.988
260,Alabama,"DeKalb County, AL",73.2,1.2165
261,Alabama,"DeKalb County, AL",74.5,1.1514
262,Alabama,"DeKalb County, AL",75.8,1.4852
263,Alabama,"DeKalb County, AL",74.6,1.1767
264,Alabama,"DeKalb County, AL",76.4,1.6459
265,Alabama,"DeKalb County, AL",75.8,0.8384
266,Alabama,"DeKalb County, AL",74.1,1.286
267,Alabama,"DeKalb County, AL",73.3,1.5012
268,Alabama,"DeKalb County, AL",71.9,1.4595
269,Alabama,"DeKalb County, AL",78.8,2.2599
270,Alabama,"DeKalb County, AL",72.9,1.0528
271,Alabama,"DeKalb County, AL",76.7,0.9163
272,Alabama,"Elmore County, AL",77.0,1.2287
273,Alabama,"Elmore County, AL",73.0,1.4127
274,Alabama,"Elmore County, AL",78.30946714719724,1.8558322362542448
275,Alabama,"Elmore County, AL",78.30946714719724,1.8558322362542448
276,Alabama,"Elmore County, AL",72.1,1.1704
277,Alabama,"Elmore County, AL",73.2,3.8284
278,Alabama,"Elmore County, AL",77.8,1.7284
279,Alabama,"Elmore County, AL",79.7,1.7024
280,Alabama,"Elmore County, AL",74.6,1.1992
281,Alabama,"Elmore County, AL",75.5,1.1401
282,Alabama,"Elmore County, AL",74.9,1.3341
283,Alabama,"Elmore County, AL",76.8,1.1171
284,Alabama,"Elmore County, AL",76.5,1.329
285,Alabama,"Elmore County, AL",74.0,1.3433
286,Alabama,"Elmore County, AL",76.3,1.9429
287,Alabama,"Escambia County, AL",71.3,1.3688
288,Alabama,"Escambia County, AL",71.8,1.131
289,Alabama,"Escambia County, AL",78.30946714719724,1.8558322362542448
290,Alabama,"Escambia County, AL",77.8,2.6147
291,Alabama,"Escambia County, AL",73.0,1.3537
292,Alabama,"Escambia County, AL",74.9,1.331
293,Alabama,"Escambia County, AL",74.8,2.5789
294,Alabama,"Escambia County, AL",69.4,1.4128
295,Alabama,"Escambia County, AL",75.2,0.9503
296,Alabama,"Etowah County, AL",69.3,1.2855
297,Alabama,"Etowah County, AL",73.0,1.9925
298,Alabama,"Etowah County, AL",77.1,1.306
299,Alabama,"Etowah County, AL",66.8,2.9866
300,Alabama,"Etowah County, AL",65.3,1.801
301,Alabama,"Etowah County, AL",78.30946714719724,1.8558322362542448
302,Alabama,"Etowah County, AL",70.5,2.2659
303,Alabama,"Etowah County, AL",67.9,1.4672
304,Alabama,"Etowah County, AL",72.7,1.7797
305,Alabama,"Etowah County, AL",75.5,1.2601
306,Alabama,"Etowah County, AL",73.8,1.463
307,Alabama,"Etowah County, AL",72.7,1.4924
308,Alabama,"Etowah County, AL",75.1,1.4441
309,Alabama,"Etowah County, AL",68.1,3.0894
310,Alabama,"Etowah County, AL",72.1,1.4553
311,Alabama,"Etowah County, AL",70.2,1.7367
312,Alabama,"Etowah County, AL",72.9,1.7938
313,Alabama,"Etowah County, AL",71.0,1.4606
314,Alabama,"Etowah County, AL",78.4,1.6933
315,Alabama,"Etowah County, AL",76.6,1.0789
316,Alabama,"Etowah County, AL",74.3,1.1667
317,Alabama,"Etowah County, AL",78.30946714719724,1.8558322362542448
318,Alabama,"Etowah County, AL",75.2,2.6817
319,Alabama,"Etowah County, AL",74.7,1.2705
320,Alabama,"Etowah County, AL",75.1,2.2005
321,Alabama,"Etowah County, AL",71.2,1.7779
322,Alabama,"Etowah County, AL",74.6,1.2556
323,Alabama,"Etowah County, AL",76.1,1.4997
324,Alabama,"Etowah County, AL",73.1,1.3067
325,Alabama,"Etowah County, AL",67.3,1.6983
326,Alabama,"Fayette County, AL",73.4,1.0214
327,Alabama,"Fayette County, AL",72.6,1.4231
328,Alabama,"Fayette County, AL",74.6,1.1753
329,Alabama,"Fayette County, AL",71.9,1.4565
330,Alabama,"Fayette County, AL",74.6,1.3451
331,Alabama,"Franklin County, AL",72.5,1.3874
332,Alabama,"Franklin County, AL",73.5,1.3122
333,Alabama,"Franklin County, AL",77.4,1.7157
334,Alabama,"Franklin County, AL",72.6,1.1977
335,Alabama,"Franklin County, AL",69.1,2.6082
336,Alabama,"Franklin County, AL",71.0,1.982
337,Alabama,"Franklin County, AL",74.8,2.1033
338,Alabama,"Franklin County, AL",74.5,0.9653
339,Alabama,"Franklin County, AL",74.9,0.901
340,Alabama,"Geneva County, AL",73.4,0.5647
341,Alabama,"Geneva County, AL",76.3,1.3188
342,Alabama,"Geneva County, AL",73.8,1.2963
343,Alabama,"Geneva County, AL",74.4,1.0865
344,Alabama,"Geneva County, AL",75.1,0.7977
345,Alabama,"Geneva County, AL",75.9,1.1868
346,Alabama,"Greene County, AL",78.30946714719724,1.8558322362542448
347,Alabama,"Greene County, AL",75.5,1.6399
348,Alabama,"Greene County, AL",75.4,1.9098
349,Alabama,"Hale County, AL",76.2,1.5659
350,Alabama,"Hale County, AL",74.6,1.9368
351,Alabama,"Hale County, AL",79.4,3.3338
352,Alabama,"Hale County, AL",72.1,1.7971
353,Alabama,"Hale County, AL",72.2,0.6809
354,Alabama,"Hale County, AL",78.4,3.2413
355,Alabama,"Henry County, AL",74.4,0.9619
356,Alabama,"Henry County, AL",73.6,1.3986
357,Alabama,"Henry County, AL",77.1,2.2488
358,Alabama,"Henry County, AL",75.9,2.6008
359,Alabama,"Henry County, AL",76.9,1.4646
360,Alabama,"Henry County, AL",77.0,2.6138
361,Alabama,"Houston County, AL",77.5,1.6422
362,Alabama,"Houston County, AL",78.8,0.6909
363,Alabama,"Houston County, AL",79.8,0.6919
364,Alabama,"Houston County, AL",78.6,1.1387
365,Alabama,"Houston County, AL",77.6,1.7889
366,Alabama,"Houston County, AL",77.6,1.7818
367,Alabama,"Houston County, AL",78.5,1.2674
368,Alabama,"Houston County, AL",71.9,1.6981
369,Alabama,"Houston County, AL",74.4,1.5306
370,Alabama,"Houston County, AL",77.1,0.8502
371,Alabama,"Houston County, AL",76.2,1.1243
372,Alabama,"Houston County, AL",76.0,1.2645
373,Alabama,"Houston County, AL",75.8,1.1591
374,Alabama,"Houston County, AL",69.6,1.3246
375,Alabama,"Houston County, AL",73.1,1.2369
376,Alabama,"Houston County, AL",73.0,1.144
377,Alabama,"Houston County, AL",75.3,1.6415
378,Alabama,"Houston County, AL",73.6,1.9872
379,Alabama,"Houston County, AL",77.5,2.8103
380,Alabama,"Houston County, AL",76.6,0.8661
381,Alabama,"Houston County, AL",76.5,1.0714
382,Alabama,"Houston County, AL",76.3,1.1505
383,Alabama,"Jackson County, AL",74.3,1.7409
384,Alabama,"Jackson County, AL",70.8,1.3238
385,Alabama,"Jackson County, AL",73.6,1.4161
386,Alabama,"Jackson County, AL",73.6,1.9527
387,Alabama,"Jackson County, AL",72.8,1.1235
388,Alabama,"Jackson County, AL",74.3,1.1134
389,Alabama,"Jackson County, AL",71.9,1.1585
390,Alabama,"Jackson County, AL",73.0,1.2243
391,Alabama,"Jackson County, AL",77.4,1.1509
392,Alabama,"Jackson County, AL",73.7,1.9686
393,Alabama,"Jackson County, AL",73.9,1.0213
394,Alabama,"Jefferson County, AL",78.30946714719724,1.8558322362542448
395,Alabama,"Jefferson County, AL",68.5,1.7237
396,Alabama,"Jefferson County, AL",70.8,1.9681
397,Alabama,"Jefferson County, AL",66.8,2.2183
398,Alabama,"Jefferson County, AL",70.1,1.7673
399,Alabama,"Jefferson County, AL",66.7,1.7257
400,Alabama,"Jefferson County, AL",70.3,2.3552
401,Alabama,"Jefferson County, AL",74.5,2.0811
402,Alabama,"Jefferson County, AL",71.0,2.0287
403,Alabama,"Jefferson County, AL",67.6,1.813
404,Alabama,"Jefferson County, AL",66.6,2.1201
